epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7407,1.78889,3.83841,2.13502,0.00327,0.79841,0.22903,0.08706,1.59382,4.67077,2.17907,0.00014443,0.00014443,0.00014443
2,22.9228,1.58538,3.36107,1.86917,0.00308,0.79841,0.24897,0.0996,1.55902,4.42906,2.06417,0.000297,0.000297,0.000297
3,32.7772,1.57946,2.95456,1.83857,0.00297,0.73095,0.16801,0.05719,2.25738,4.73705,2.72034,0.000446491,0.000446491,0.000446491
4,43.5631,1.68741,2.81529,1.85772,0.16356,0.19301,0.28809,0.13762,1.74401,4.36922,2.08126,0.000592902,0.000592902,0.000592902
5,54.4834,1.66543,2.66455,1.81473,0.7826,0.08265,0.40024,0.15643,1.86657,3.86591,2.18956,0.000736233,0.000736233,0.000736233
6,65.467,1.59095,2.54666,1.77698,0.70312,0.5381,0.54613,0.24328,1.90256,3.69597,2.1987,0.000876485,0.000876485,0.000876485
7,76.5358,1.60678,2.38805,1.76022,0.61211,0.48413,0.60917,0.27301,1.68229,3.71852,2.1106,0.00101366,0.00101366,0.00101366
8,87.3956,1.59409,2.41627,1.75899,0.71179,0.29864,0.38981,0.18792,1.86288,4.65301,2.27473,0.00103401,0.00103401,0.00103401
9,99.526,1.56471,2.38371,1.74034,0.493,0.29698,0.34316,0.15781,1.94698,3.80963,2.32125,0.00102301,0.00102301,0.00102301
10,112.746,1.5285,2.19149,1.71295,0.30138,0.72143,0.50217,0.17909,1.89011,4.36253,2.29536,0.00101201,0.00101201,0.00101201
11,125.238,1.5356,2.19515,1.69033,0.60165,0.48461,0.48026,0.20352,1.97871,3.36025,2.42779,0.00100101,0.00100101,0.00100101
12,137.865,1.56725,2.06553,1.74334,0.49102,0.60694,0.66627,0.24494,1.78897,3.76835,2.21379,0.000990012,0.000990012,0.000990012
13,149.413,1.53178,1.97798,1.68713,0.46933,0.60621,0.56897,0.21931,1.87642,4.11618,2.19853,0.000979013,0.000979013,0.000979013
14,161.769,1.559,1.96644,1.70723,0.59819,0.6909,0.74274,0.32304,1.82038,2.953,2.17669,0.000968014,0.000968014,0.000968014
15,173.557,1.54275,2.00896,1.72613,0.78264,0.78577,0.83943,0.35335,1.77446,2.89456,2.12533,0.000957015,0.000957015,0.000957015
16,185.249,1.52836,1.97512,1.70695,0.68333,0.58948,0.71596,0.32722,1.87406,2.85032,2.15509,0.000946016,0.000946016,0.000946016
17,196.598,1.49871,1.92753,1.69272,0.77012,0.4748,0.71545,0.33546,1.79897,2.73063,2.14382,0.000935018,0.000935018,0.000935018
18,208.436,1.48201,1.74721,1.63761,0.76689,0.6299,0.82085,0.24364,2.22208,2.53847,2.56554,0.000924019,0.000924019,0.000924019
19,221.75,1.52124,1.80052,1.71175,0.54691,0.64603,0.64145,0.22518,2.24136,2.56671,2.60612,0.00091302,0.00091302,0.00091302
20,236.27,1.48023,1.73879,1.60568,0.65888,0.60295,0.69243,0.28098,2.00922,2.42846,2.41857,0.000902021,0.000902021,0.000902021
21,250.525,1.4332,1.61674,1.61021,0.77528,0.74952,0.78569,0.3581,1.85755,2.20972,2.20107,0.000891022,0.000891022,0.000891022
22,265.479,1.46153,1.70434,1.60315,0.64592,0.79111,0.77606,0.37152,1.94714,1.89651,2.33917,0.000880023,0.000880023,0.000880023
23,279.746,1.49919,1.7148,1.65038,0.76009,0.75021,0.79405,0.34627,1.97838,2.0964,2.34331,0.000869024,0.000869024,0.000869024
24,294.287,1.44105,1.65342,1.58266,0.71469,0.74595,0.80107,0.38168,1.71906,2.05931,2.09844,0.000858025,0.000858025,0.000858025
25,308.425,1.45713,1.70103,1.64338,0.66611,0.86421,0.83615,0.41418,1.76638,1.85536,2.06794,0.000847026,0.000847026,0.000847026
26,323.246,1.43746,1.62407,1.63219,0.68148,0.91586,0.8048,0.38531,1.72459,1.81628,2.07229,0.000836027,0.000836027,0.000836027
27,338.052,1.38935,1.5244,1.61371,0.68403,0.82687,0.87213,0.41648,1.72905,1.87134,2.09471,0.000825029,0.000825029,0.000825029
28,354.523,1.40084,1.53816,1.58734,0.82481,0.7881,0.80916,0.38475,1.77177,1.93789,2.16799,0.00081403,0.00081403,0.00081403
29,370.217,1.39557,1.46505,1.57683,0.74136,0.69095,0.77697,0.29798,1.85677,2.165,2.22494,0.000803031,0.000803031,0.000803031
30,386.221,1.42224,1.56262,1.58069,0.8467,0.84304,0.89016,0.43832,1.87322,1.61336,2.19104,0.000792032,0.000792032,0.000792032
31,401.943,1.36317,1.41038,1.53442,0.7641,0.77143,0.7859,0.3913,1.78004,1.80063,2.04416,0.000781033,0.000781033,0.000781033
32,417.797,1.40498,1.42964,1.55358,0.7894,0.75888,0.85119,0.44719,1.79347,1.62146,2.10202,0.000770034,0.000770034,0.000770034
33,432.566,1.35345,1.41798,1.54662,0.7242,0.7889,0.84746,0.39432,1.76478,1.60389,2.09319,0.000759035,0.000759035,0.000759035
34,448.046,1.31686,1.38075,1.52133,0.72385,0.82024,0.85246,0.40842,1.76114,1.59167,2.08582,0.000748036,0.000748036,0.000748036
35,465.07,1.33066,1.3212,1.48317,0.81288,0.84338,0.88242,0.43812,1.82911,1.5465,2.20587,0.000737037,0.000737037,0.000737037
36,481.589,1.27695,1.30218,1.50784,0.87801,0.83444,0.89096,0.39444,1.89008,1.54069,2.2673,0.000726038,0.000726038,0.000726038
37,499.143,1.30088,1.34639,1.50433,0.89903,0.76815,0.84802,0.38758,1.76281,1.58124,2.11172,0.00071504,0.00071504,0.00071504
38,516.553,1.2856,1.34831,1.47438,0.84552,0.74964,0.79424,0.38799,1.7849,1.59222,2.12255,0.000704041,0.000704041,0.000704041
39,534.886,1.28942,1.28783,1.51003,0.84844,0.79285,0.85796,0.38351,1.81609,1.70337,2.15472,0.000693042,0.000693042,0.000693042
40,551.918,1.31159,1.29868,1.50031,0.78558,0.87162,0.83223,0.40764,1.9162,1.44943,2.35225,0.000682043,0.000682043,0.000682043
41,568.376,1.31421,1.24598,1.51394,0.8448,0.90008,0.93998,0.39825,1.96559,1.7107,2.34481,0.000671044,0.000671044,0.000671044
42,585.62,1.22536,1.20419,1.47415,0.88657,0.86624,0.89781,0.42996,1.82814,1.43717,2.2127,0.000660045,0.000660045,0.000660045
43,602.316,1.25728,1.22993,1.48567,0.88754,0.8858,0.92576,0.46317,1.79973,1.40872,2.19519,0.000649046,0.000649046,0.000649046
44,618.276,1.28491,1.19971,1.48127,0.85574,0.95475,0.93242,0.46547,1.7963,1.40142,2.12407,0.000638047,0.000638047,0.000638047
45,634.637,1.23848,1.21575,1.46997,0.87115,0.80178,0.90426,0.42891,1.83812,1.34777,2.22685,0.000627048,0.000627048,0.000627048
46,651.311,1.22521,1.1579,1.47281,0.90554,0.88571,0.95567,0.42534,1.76996,1.50886,2.18961,0.000616049,0.000616049,0.000616049
47,666.215,1.21455,1.15483,1.44162,0.8769,0.84789,0.9245,0.43104,1.79919,1.31979,2.24521,0.000605051,0.000605051,0.000605051
48,680.75,1.24029,1.2013,1.4435,0.89851,0.91811,0.94709,0.43343,1.85445,1.36846,2.27018,0.000594052,0.000594052,0.000594052
49,696.682,1.21468,1.12365,1.44492,0.86253,0.88138,0.90671,0.45146,1.8031,1.31212,2.25351,0.000583053,0.000583053,0.000583053
50,712.371,1.21201,1.13283,1.47329,0.86207,0.89223,0.89135,0.44731,1.82001,1.2465,2.19429,0.000572054,0.000572054,0.000572054
51,729.237,1.16911,1.10615,1.42019,0.88811,0.91842,0.90845,0.3815,1.91267,1.44206,2.26403,0.000561055,0.000561055,0.000561055
52,744.017,1.15772,1.09594,1.41547,0.90905,0.92422,0.96737,0.49724,1.66553,1.23688,1.98767,0.000550056,0.000550056,0.000550056
53,759.871,1.15671,1.08549,1.41377,0.92269,0.95333,0.96402,0.46628,1.79786,1.23423,2.17574,0.000539057,0.000539057,0.000539057
54,776.183,1.16458,1.096,1.41473,0.91966,0.91177,0.955,0.41586,1.8167,1.31419,2.22911,0.000528058,0.000528058,0.000528058
55,793.219,1.12796,1.05433,1.38843,0.87348,0.90848,0.93054,0.42116,1.8589,1.31463,2.29454,0.000517059,0.000517059,0.000517059
56,807.374,1.1461,1.10088,1.40803,0.86584,0.86223,0.90879,0.469,1.7694,1.21146,2.2783,0.00050606,0.00050606,0.00050606
57,823.976,1.09258,0.9903,1.3654,0.8849,0.86634,0.89592,0.44502,1.79784,1.10898,2.30849,0.000495062,0.000495062,0.000495062
58,839.003,1.08661,0.96366,1.35639,0.89403,0.90962,0.90743,0.45803,1.9308,1.07958,2.44722,0.000484063,0.000484063,0.000484063
59,853.325,1.13305,0.99415,1.38784,0.8703,0.9189,0.91999,0.45782,1.85076,1.07268,2.35003,0.000473064,0.000473064,0.000473064
60,867.499,1.09467,0.94,1.36111,0.88895,0.91564,0.95775,0.42746,1.94848,1.17996,2.47914,0.000462065,0.000462065,0.000462065
61,881.234,1.08788,0.9653,1.35754,0.83661,0.89338,0.93419,0.46624,1.87589,1.15655,2.37733,0.000451066,0.000451066,0.000451066
62,894.798,1.07029,0.9338,1.3743,0.90445,0.9298,0.94899,0.4616,1.80438,1.13756,2.3098,0.000440067,0.000440067,0.000440067
63,908.349,1.06352,0.96915,1.37192,0.96789,0.97143,0.98333,0.45486,1.80806,1.21658,2.30407,0.000429068,0.000429068,0.000429068
64,921.969,0.98849,0.89701,1.30006,0.89059,0.88856,0.91069,0.42255,1.87316,1.1104,2.38317,0.000418069,0.000418069,0.000418069
65,935.401,1.05934,0.9557,1.32668,0.92734,0.95325,0.95616,0.43691,1.97475,1.1601,2.50711,0.00040707,0.00040707,0.00040707
66,948.764,1.01605,0.9143,1.30789,0.92522,0.9595,0.96236,0.47835,1.81107,1.08986,2.27311,0.000396071,0.000396071,0.000396071
67,962.629,1.06574,0.9195,1.34396,0.89898,0.91548,0.93492,0.49722,1.68847,1.05159,2.18031,0.000385073,0.000385073,0.000385073
68,975.511,1.02659,0.86316,1.3243,0.82565,0.87619,0.87794,0.4831,1.82648,1.15609,2.33562,0.000374074,0.000374074,0.000374074
69,989.47,1.05992,0.93431,1.33781,0.85144,0.86032,0.87846,0.48042,1.7901,1.1454,2.29651,0.000363075,0.000363075,0.000363075
70,1003.29,1.0137,0.90529,1.31496,0.87981,0.86384,0.8982,0.44637,1.84733,1.04656,2.39837,0.000352076,0.000352076,0.000352076
71,1016.31,1.03636,0.85869,1.31307,0.91995,0.93905,0.96378,0.41516,1.91638,1.07404,2.47475,0.000341077,0.000341077,0.000341077
72,1029.41,0.98968,0.87153,1.32005,0.94082,0.89243,0.93977,0.47652,1.72598,1.05862,2.23818,0.000330078,0.000330078,0.000330078
73,1042.5,0.95449,0.83214,1.25452,0.92869,0.8958,0.93061,0.48767,1.71018,1.0801,2.21345,0.000319079,0.000319079,0.000319079
74,1055.51,0.95922,0.83587,1.29117,0.89197,0.89747,0.91204,0.43694,1.80836,1.13931,2.3511,0.00030808,0.00030808,0.00030808
75,1069.44,0.93656,0.79382,1.25441,0.86333,0.89902,0.89742,0.4039,1.90513,1.22219,2.37312,0.000297081,0.000297081,0.000297081
76,1082.29,0.90359,0.79144,1.2344,0.85159,0.87979,0.89709,0.42292,1.89077,1.13956,2.35548,0.000286083,0.000286083,0.000286083
77,1096.06,0.92874,0.79017,1.24271,0.8766,0.84382,0.88442,0.45494,1.84508,1.10996,2.44694,0.000275084,0.000275084,0.000275084
78,1109.03,0.87847,0.80253,1.20707,0.88348,0.87796,0.87032,0.43914,1.73343,1.05535,2.37482,0.000264085,0.000264085,0.000264085
79,1122.68,0.90318,0.79636,1.25194,0.90466,0.88254,0.8756,0.4579,1.73987,1.0834,2.38064,0.000253086,0.000253086,0.000253086
80,1135.66,0.91434,0.80261,1.23989,0.92825,0.89559,0.9122,0.4355,1.86371,1.02983,2.58937,0.000242087,0.000242087,0.000242087
81,1148.59,0.9062,0.77084,1.23178,0.927,0.9042,0.91983,0.46806,1.79332,1.00644,2.52858,0.000231088,0.000231088,0.000231088
