epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.034,1.30972,3.64116,1.72254,0.00368,0.91667,0.4772,0.33881,1.07244,4.1764,1.70395,0.000125,0.000125,0.000125
2,84.1885,1.29815,2.93143,1.71381,0.00349,0.91667,0.51318,0.32915,1.06101,4.03126,1.8076,0.000259901,0.000259901,0.000259901
3,126.068,1.33596,2.52156,1.66766,0.00357,0.95833,0.67038,0.41102,1.05485,3.72024,1.64507,0.00039208,0.00039208,0.00039208
4,167.717,1.26664,2.27462,1.61873,0.00534,0.95833,0.68467,0.47085,1.32217,3.72001,1.81641,0.000521536,0.000521536,0.000521536
5,209.637,1.28461,2.09875,1.63041,0.38826,0.875,0.80517,0.46201,1.24034,3.41722,1.75852,0.00064827,0.00064827,0.00064827
6,251.75,1.30858,2.10519,1.62816,0.8609,0.28095,0.42748,0.29692,1.46795,3.45016,2.06973,0.000772281,0.000772281,0.000772281
7,293.274,1.37042,2.01273,1.61792,0.91311,0.45426,0.56958,0.36317,1.5421,3.1561,2.14937,0.00089357,0.00089357,0.00089357
8,335.594,1.36135,1.9951,1.59084,0.54213,0.40298,0.458,0.28856,1.53298,3.37815,2.44829,0.00101214,0.00101214,0.00101214
9,377.285,1.30267,1.89656,1.5617,0.9663,0.32182,0.41905,0.25295,1.75173,3.41486,2.60836,0.00112798,0.00112798,0.00112798
10,418.83,1.29055,1.8366,1.53228,0.87281,0.54167,0.75504,0.43939,1.43845,2.48618,2.09611,0.00113863,0.00113863,0.00113863
11,461.168,1.34962,1.82537,1.57486,0.63701,0.63768,0.73052,0.32599,1.76433,2.93401,2.33471,0.00112625,0.00112625,0.00112625
12,502.773,1.31212,1.7915,1.52716,0.51647,0.41369,0.55404,0.2743,1.65545,3.01132,2.13297,0.00111388,0.00111388,0.00111388
13,544.65,1.31922,1.60111,1.52085,0.52017,0.44437,0.52339,0.24051,1.72281,3.1863,2.15811,0.0011015,0.0011015,0.0011015
